#,Title,Year,Author,Subtitle ,Description
0.10,Hyperinstruments,1986,,,"The hyperinstrument project was started with the goal of designing expanded musical instruments, using technology to give extra power and finesse to virtuosic performers"
0.11,Valis,1987,,,"The fractured tale of an authorial alter-ego named Horselover Fat, VALIS (short for ""Vast Active Living Intelligence System""), involves an alien space probe, Watergate, the Messiah, and lasers."
0.12,Bug-Mutra,1989,,,An electronic conducting glove that allows the conductor to control aspects of the music while conducting.
1.1,Flora,1990,,,Flora was composed as a collaboration with artist Yoichiro Kavaguchi. The music uses his astonishing mixture of abstract images and life-like evolution as a metaphor for the musical composition.
1.2,HyperCello for Yo-Yo Ma,1991,,,"Hyperinstruments were designed goal of expanding musical instruments, using technology to give extra power and finesse to virtuosic performers, such as Yo-Yo Ma, who performed on the hypercello."
1.3,Media/Medium,1994,,,"The Sensor Chair is an instrument that maps the motion of hands and feet into various musical effects that trigger, modify, and conduct electronic sound sources."
1.4,Brain Opera,1996,,,"The Brain Opera is an attempt to bring expression and creativity to everyone. Audiences explore hands-on instruments as preparation for the performance, which then incorporates their compositions."
1.5,Brain Opera,1996,,,"The Brain Opera is an attempt to bring expression and creativity to everyone. Audiences explore hands-on instruments as preparation for the performance, which then incorporates their compositions."
1.6,Meterorite,1998,"Opera group, Andre Heller, Propeller-Z and Ray Kinoshita",,"The Meteorite Museum is designed as a radical opera, with the emotional experience created by physically travelling through the museum from beginning to end."
1.7,Ressurrection ,1999,,,"Resurrection captures an unusual love story between  a prince and a serving girl. Though divided by class, their fates become intertwined when the prince sits on the jury that unjustly condemns the young woman to prison."
1.8,Toy Symphony,2001,,,"Toy Symphony is a project aiming to alter how children are introduced to music, as well as to redefine the relationship between professional musicians and young people."
1.9,Music Toys,2001,,,"Music Shapers are soft, squeezable instruments that allow players to shape and explore musical compositions. Beatbugs are handheld rhythm instruments that allow creation, manipulation, and sharing of rhythmic motives."
1.10,Hyperscore,2001,,,"Hyperscore is a graphical composition environment that interprets the gestures of the strokes and lines the user draws. The user can pen musical ideas, store them for later use, and create new pieces."
1.11,"Music, Mind and Health",2004,,,"Music, Mind and Health marshals the power of music to promote well-being. Working with long-term patients, the group's goal is to develop personal musical activities that adapt to the particular skills and needs of each individual."
1.12,"Music, Mind and Health",2004,,,"Music, Mind and Health marshals the power of music to promote well-being. Working with long-term patients, the group's goal is to develop personal musical activities that adapt to the particular skills and needs of each individual."
2.1,Jeux Deux,2005,"Tod Machover, Marc Downie, Mike Fabio",,Jeux Deux is a piece for hyperpiano and orchestra by Tod Machover with interactive piano software and live computer graphics.
2.2,Ying Quartet,2006,,,"""...but not simpler..."" for string quartet was commissioned by the Ying Quartet as part of their Life Music project, and was composed in the Summer of 2005."
2.3,Skellig,2008,Ben Bloomberg,,He was lying there in the darkness behind the tea chests in the dust and dirt. It was as if he'd been there forever. He was filthy and pale and dried out and I thought he was dead. I couldn't have been more wrong.
2.4,Dan Ellsey TED,2008,,,"Dan Ellsey, a young man with cerebral palsy has found his voice through music created and performed using hyperscore. He plays his composition in a soaring rendition that underscores music's power to heal, communicate, and inspire."
2.5,Death and the Powers,2010,,,"The main character in Powers uploads his consciousness into an elaborate computer system to preserve his essence and agency after his corporeal death. For much of the opera, the stage itself comes alive as the main character."
2.6,Death and the Powers,2011,,,"The main character in Powers uploads his consciousness into an elaborate computer system to preserve his essence and agency after his corporeal death. For much of the opera, the stage itself comes alive as the main character."
2.7,Death and the Powers,2012,,,"The main character in Powers uploads his consciousness into an elaborate computer system to preserve his essence and agency after his corporeal death. For much of the opera, the stage itself comes alive as the main character."
2.8,Sleep No More,2011,Ben Bloomberg,,"In the live show, masked audience members explore and interact with the performance. We developed an online companion to this, so online participants partner with live audience members to explore the immersive show together."
2.9,City Symphony Toronto,2013,,,A collaborative symphony created with sounds from the city and citizens of Toronto.
2.10,City Symphony Toronto,2013,,,A collaborative symphony created with sounds from the city and citizens of Toronto.
2.11,Festival City Edinburgh,2013,,,A collaborative symphony created with sounds from the city and citizens of Edinburgh.
2.12,Self Reflection,2013,Rebecca Kleinberger,Using the Voice as a tool for self-reflection,"This project is composed of software, devices, installations, and thoughts used to challenge us to gain new insights on our voices. To increase self-awareness, we propose different ways to extend, project, and visualize the voice."
3.1,Vocal Vibrations,2014,,,This explores the relationships between human physiology and the resonant vibrations of the voice. We are examining the hypothesis that the singing voice can influence mental and physical health.
3.2,Vocal Vibrations,2014,,,This explores the relationships between human physiology and the resonant vibrations of the voice. We are examining the hypothesis that the singing voice can influence mental and physical health.
3.3,City Symphony Perth,2014,,,A collaborative symphony created with sounds from the city and citizens of Perth.
3.4,City Symphony Perth,2014,,,A collaborative symphony created with sounds from the city and citizens of Perth.
3.5,Powers Live,2014,,,The live global interactive simulcast of the final performance of Death and the Powers made use of satellite broadcast to expand the boundaries of second-screen experience and interactivity during a live remote performance. 
3.6,See Like A Bee,2014,Charles Holbrow,,"Explores ways to augment human senses to simulate the kind of experience that non-human animals have, specifically honey bees. The final result is a wearable inspired by the ulra-violet vision of bees."
3.7,A Symphony for Lucerne,2015,,,A collaborative symphony created with sounds from the city and citizens of Lucerne.
3.8,A Symphony for Lucerne,2015,,,A collaborative symphony created with sounds from the city and citizens of Lucerne.
3.9,Fensadense ,2015,,,"Fensadense is a work for 10-piece ensemble. It represents the next generation of hyperinstruments, involving the measurement of relative qualities of many performers where previous systems only looked at a single performer."
3.10,Symphony in D,2015,,City Symphony Detroit,A collaborative symphony created with sounds from the city and citizens of Detroit.
3.11,Symphony in D,2015,,City Symphony Detroit,A collaborative symphony created with sounds from the city and citizens of Detroit.
3.12,30 30 30,2015,,Media Lab 30th Anniversary ,"In celebration of the 30th anniversary of the Media Lab, current students set out to discover the sound of our group past and present. 30 sounds from 30 alumni over the past 30 years transformed into 3 x 30-second vignettes."
4.1,De l'Experience,2015,"Charles Holbrow, Rebecca Kleinberger, Ben Bloomberg",,"A composition for organ, electronics, and spoken voice, with text from the Essais by Michel de Montaigne, who invented the essay, the composition entwines words and music to create a journey of discovery. "
4.2,Egg Shell Carving,2015,Rebecca Kleinberger,,"Hand carved illuminated Hen, Duck, Blue Duck and Goose egg shells."
4.3,Tempic Integrations,2015,Charles Holbrow,,"Can we make music with multiple simultaneous tempos, while these tempos are accelerating or decelerating relative to each other?"
4.4,Beatcells,2016,Nicole L'Huillier ,,"Rhythmical devices attached to different materials and surfaces in a room/space. Turn the space alive, turn any space into a musical instrument."
4.5,SNaSI,2016,Rebecca Kleinberger,Social Navigation through Subtle Interactions,A wearable garment designed to help blind and visually impaired people in face-to-face interaction with sighted peers.
